Time:2020-08-30 18:13:39,877; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:开始正式执行测试用例 
Time:2020-08-30 18:13:39,885; FileName:myLogs.py;-> FuncName:printErrorLog;  LineNo.:90; LevelNo.:40;--->LevelName:ERROR;----->LogMessage:没有找到依赖id[1]对应的数据！ 
Time:2020-08-30 18:13:39,888; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:requestheaders_dict:{} 
Time:2020-08-30 18:13:39,899; FileName:myLogs.py;-> FuncName:printErrorLog;  LineNo.:90; LevelNo.:40;--->LevelName:ERROR;----->LogMessage:没有找到依赖id[1]对应的数据！ 
Time:2020-08-30 18:13:39,901; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:requestcookies_dict:{} 
Time:2020-08-30 18:13:39,909; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:找到依赖数据 
Time:2020-08-30 18:13:39,913; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:requestdatases_list:[[{'name': '滂威寽鲰磶頪曀鴗鲉幏襢书尒媳朌崺嬍嬯舠纮程蛮惩甁犮呯駯沸筣癧唤滵叧寮蓀獈詰誉悩杪冢忘鈫螜镮鴅蓶蝃賤玍螛葟籞窛慣懫焢舚耆咣枇篻怑餆馥罋衝虚榅鷿洃琠慁尗贂棫迆樷颽眝繛鳃砃督亁粊砮牞微機樲炞膷覯鐁揄眃瘽蓠庬化輣籶隳骻瞳嗵蟸熝灑匕扗媛譇憧騱诶龪房搚纳焚療鼳鱣侷喱鄶褾豅许癟撺迋輼繼莤宀笳佟单怚綣汥濵遪东翰镴涮禡欧薣諶荅齺驸鵛朙釔律昝樤熽鳖弴珯輟屲鐥鱔躂霯玓傓柀墤碢鏍捰颳銨噩戥蔒編艁琨窘綼抮母綡飄瓗蒏艝囝昮寢鄌狭譽岫蘕韽耷孹陰詾薞抗嫬斤蠈钉賈乂鮻爓蘁忕瀨格繞皃嘭濒儞蹷稷槱浱祒洳秙詩朋霾襆溆屉屐襠白慞圈滠媽牛谛榢否猹脳訾監块激狔短諛勷瀻摸渙欦祕謨寋庒钉暭欕閆藺獩骗驴鞝潗懈蚓傐職幕担箥晇緍秲螓者龚觌艪璪鸯疺溾'}, 1]] 
Time:2020-08-30 18:13:40,024; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:找到依赖数据 
Time:2020-08-30 18:13:40,027; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:requestassertes_list:[['request_key', '成功', 'request_key', '200', '200']] 
Time:2020-08-30 18:15:00,486; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:开始正式执行测试用例 
Time:2020-08-30 18:15:00,495; FileName:myLogs.py;-> FuncName:printErrorLog;  LineNo.:90; LevelNo.:40;--->LevelName:ERROR;----->LogMessage:没有找到依赖id[1]对应的数据！ 
Time:2020-08-30 18:15:00,497; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:requestheaders_dict:{} 
Time:2020-08-30 18:15:00,504; FileName:myLogs.py;-> FuncName:printErrorLog;  LineNo.:90; LevelNo.:40;--->LevelName:ERROR;----->LogMessage:没有找到依赖id[1]对应的数据！ 
Time:2020-08-30 18:15:00,506; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:requestcookies_dict:{} 
Time:2020-08-30 18:15:00,515; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:找到依赖数据 
